ProductionBudget,WorldwideGross
400000000.0,2797800564.0
379000000.0,1045713802.0
365000000.0,1395316979.0
306000000.0,2065478084.0
300000000.0,2044540523.0
300000000.0,960996492.0
300000000.0,655945209.0
300000000.0,879500760.0
275000000.0,1072944222.0
275000000.0,393151347.0
263700000.0,282778100.0
263000000.0,872395091.0
260000000.0,1654381934.0
260000000.0,585574317.0
258000000.0,894860230.0
250000000.0,1151918521.0
250000000.0,930673167.0
250000000.0,960238087.0
250000000.0,943328905.0
250000000.0,1236703796.0
237000000.0,2845899541.0
232000000.0,391081192.0
230000000.0,1082228107.0
230000000.0,794861794.0
230000000.0,591692078.0
225000000.0,1515100211.0
225000000.0,1066179725.0
225000000.0,667999518.0
225000000.0,417341288.0
225000000.0,260002115.0
220000000.0,757890267.0
220000000.0,313477717.0
217000000.0,602893340.0
215000000.0,1669979967.0
215000000.0,654213485.0
210000000.0,836519699.0
210000000.0,1104054072.0
210000000.0,459260946.0
210000000.0,322459006.0
207000000.0,550517357.0
205000000.0,367262558.0
205000000.0,361963200.0
200000000.0,1336494321.0
200000000.0,2207986545.0
200000000.0,1332539889.0
200000000.0,1242805359.0
200000000.0,1055135598.0
200000000.0,1025006125.0
200000000.0,1073080329.0
200000000.0,1068879522.0
200000000.0,1215392272.0
200000000.0,869113101.0
200000000.0,794697557.0
200000000.0,1025491110.0
200000000.0,1110526981.0
200000000.0,1017003568.0
200000000.0,743455810.0
200000000.0,490359051.0
200000000.0,747862775.0
200000000.0,708996336.0
200000000.0,560155383.0
200000000.0,760372607.0
200000000.0,399866199.0
200000000.0,757677748.0
200000000.0,651280475.0
200000000.0,365491792.0
200000000.0,219535492.0
200000000.0,336359676.0
200000000.0,246356895.0
200000000.0,127912438.0
200000000.0,166080238.0
195000000.0,1123794079.0
195000000.0,409953905.0
195000000.0,197687603.0
190000000.0,1517179709.0
190000000.0,467381584.0
190000000.0,531514650.0
190000000.0,353640419.0
190000000.0,315709697.0
190000000.0,411002906.0
187500000.0,333771037.0
186000000.0,585171547.0
185000000.0,999046281.0
185000000.0,786635413.0
185000000.0,554606532.0
185000000.0,561072059.0
185000000.0,335673708.0
185000000.0,489346495.0
185000000.0,259238971.0
185000000.0,250372367.0
182000000.0,1046759512.0
180000000.0,850482778.0
180000000.0,720539572.0
180000000.0,758536735.0
180000000.0,811724385.0
180000000.0,532508025.0
180000000.0,256585882.0
180000000.0,348902025.0
180000000.0,180047784.0
180000000.0,215098356.0
179000000.0,181982519.0
178000000.0,787176729.0
178000000.0,542537546.0
178000000.0,527370715.0
178000000.0,367028980.0
175000000.0,1129727388.0
175000000.0,953554418.0
175000000.0,855038387.0
175000000.0,880166350.0
175000000.0,746846894.0
175000000.0,731463377.0
175000000.0,798237597.0
175000000.0,529290830.0
175000000.0,381687380.0
175000000.0,383541369.0
175000000.0,302469017.0
175000000.0,221229335.0
175000000.0,405760225.0
175000000.0,174131329.0
175000000.0,264246220.0
175000000.0,251403146.0
175000000.0,139630336.0
175000000.0,151716815.0
170000000.0,1308334005.0
170000000.0,770882395.0
170000000.0,621156389.0
170000000.0,714401889.0
170000000.0,710644566.0
170000000.0,312719437.0
170000000.0,401021746.0
170000000.0,433058296.0
170000000.0,300150546.0
170000000.0,353166307.0
170000000.0,383299915.0
170000000.0,206627518.0
170000000.0,401900040.0
170000000.0,276928112.0
165000000.0,756244673.0
165000000.0,676354481.0
165000000.0,649657407.0
165000000.0,494870992.0
165000000.0,496511521.0
165000000.0,652152988.0
165000000.0,384169424.0
163000000.0,176038324.0
160000000.0,1255080655.0
160000000.0,1131219645.0
160000000.0,1143758700.0
160000000.0,807330936.0
160000000.0,728582465.0
160000000.0,648986787.0
160000000.0,789300444.0
160000000.0,529076069.0
160000000.0,355408305.0
160000000.0,329631958.0
160000000.0,217986320.0
160000000.0,181674817.0
160000000.0,438899824.0
156000000.0,122603824.0
155000000.0,418186950.0
155000000.0,415588159.0
155000000.0,432150894.0
155000000.0,290930148.0
155000000.0,167297191.0
152000000.0,489592267.0
151500000.0,449239853.0
151000000.0,708272592.0
150000000.0,1447244586.0
150000000.0,818058221.0
150000000.0,1267646247.0
150000000.0,1005954958.0
150000000.0,940743940.0
150000000.0,891320084.0
150000000.0,738576929.0
150000000.0,585532684.0
150000000.0,636155760.0
150000000.0,624234272.0
150000000.0,475825484.0
150000000.0,626549695.0
150000000.0,644602516.0
150000000.0,359004502.0
150000000.0,688858992.0
150000000.0,519452014.0
150000000.0,449326618.0
150000000.0,599680774.0
150000000.0,374825760.0
150000000.0,402231063.0
150000000.0,664837547.0
150000000.0,367960491.0
150000000.0,432142736.0
150000000.0,427300260.0
150000000.0,579055653.0
150000000.0,310043823.0
150000000.0,399387745.0
150000000.0,490875846.0
150000000.0,483152040.0
150000000.0,319713881.0
150000000.0,287594577.0
150000000.0,292817841.0
150000000.0,328015029.0
150000000.0,305270083.0
150000000.0,195080579.0
150000000.0,238202668.0
150000000.0,205440387.0
150000000.0,142634358.0
150000000.0,334486852.0
150000000.0,151525973.0
150000000.0,39549758.0
149000000.0,179357126.0
145000000.0,746921271.0
145000000.0,694713230.0
145000000.0,614586270.0
145000000.0,448191819.0
145000000.0,269806430.0
145000000.0,306900902.0
145000000.0,121645390.0
144000000.0,229008658.0
142000000.0,431942139.0
140000000.0,654310819.0
140000000.0,386839614.0
140000000.0,554600000.0
140000000.0,441767803.0
140000000.0,370569776.0
140000000.0,521170825.0
140000000.0,285400000.0
140000000.0,375740705.0
140000000.0,456810575.0
140000000.0,203018919.0
140000000.0,268314513.0
140000000.0,199646680.0
140000000.0,166623705.0
140000000.0,138836756.0
139000000.0,821706375.0
138000000.0,186976250.0
138000000.0,76416746.0
137500000.0,265573859.0
137000000.0,245031679.0
137000000.0,85131830.0
136200000.0,829724737.0
135000000.0,573068425.0
135000000.0,532938302.0
135000000.0,361730660.0
135000000.0,245724600.0
135000000.0,212912137.0
135000000.0,286896578.0
135000000.0,245328374.0
135000000.0,157956466.0
135000000.0,164920076.0
132900000.0,170024300.0
132000000.0,606836535.0
132000000.0,366942531.0
130000000.0,864868047.0
130000000.0,789961033.0
130000000.0,444043396.0
130000000.0,623144660.0
130000000.0,631910531.0
130000000.0,518858449.0
130000000.0,385997896.0
130000000.0,348901032.0
130000000.0,554987477.0
130000000.0,321887208.0
130000000.0,273271982.0
130000000.0,492846291.0
130000000.0,290650494.0
130000000.0,352831065.0
130000000.0,373993951.0
130000000.0,251499665.0
130000000.0,215080810.0
130000000.0,79076678.0
129000000.0,522587135.0
127500000.0,689420051.0
127500000.0,356148063.0
127000000.0,614202315.0
127000000.0,353756621.0
125000000.0,1334392544.0
125000000.0,766575131.0
125000000.0,965054122.0
125000000.0,800128637.0
125000000.0,955371891.0
125000000.0,767820459.0
125000000.0,406348630.0
125000000.0,630163454.0
125000000.0,485004754.0
125000000.0,535663443.0
125000000.0,555840117.0
125000000.0,527965936.0
125000000.0,493214888.0
125000000.0,343242613.0
125000000.0,376000000.0
125000000.0,402448265.0
125000000.0,280355920.0
125000000.0,238317814.0
125000000.0,304868961.0
125000000.0,107360936.0
125000000.0,211856088.0
125000000.0,240759682.0
125000000.0,61642798.0
125000000.0,61698899.0
123000000.0,345445403.0
120000000.0,549588516.0
120000000.0,328711434.0
120000000.0,416168316.0
120000000.0,289480691.0
120000000.0,619310368.0
120000000.0,229545589.0
120000000.0,427947217.0
120000000.0,227163273.0
120000000.0,286192091.0
120000000.0,287916633.0
120000000.0,142531552.0
120000000.0,166000000.0
120000000.0,242981799.0
120000000.0,107212751.0
120000000.0,167849187.0
120000000.0,93394462.0
120000000.0,163018913.0
120000000.0,49628177.0
117000000.0,258751370.0
116000000.0,853530899.0
115000000.0,1027044677.0
115000000.0,848998877.0
115000000.0,656695615.0
115000000.0,560483719.0
115000000.0,416456852.0
115000000.0,178200000.0
115000000.0,165149302.0
115000000.0,77628265.0
113500000.0,132999811.0
112000000.0,232017848.0
111000000.0,289838913.0
110000000.0,786455570.0
110000000.0,689742192.0
110000000.0,579446407.0
110000000.0,486124090.0
110000000.0,456258539.0
110000000.0,563749323.0
110000000.0,382288147.0
110000000.0,295075882.0
110000000.0,362989076.0
110000000.0,339504276.0
110000000.0,215300000.0
110000000.0,330780051.0
110000000.0,208370892.0
110000000.0,302239672.0
110000000.0,229155503.0
110000000.0,295986876.0
110000000.0,263880341.0
110000000.0,253020464.0
110000000.0,177241171.0
110000000.0,348547523.0
110000000.0,172022517.0
110000000.0,152364370.0
110000000.0,127983283.0
110000000.0,76482461.0
110000000.0,150468000.0
110000000.0,218674938.0
110000000.0,167910690.0
110000000.0,72004159.0
109000000.0,133818283.0
109000000.0,87683966.0
108000000.0,655111538.0
106000000.0,119266661.0
105000000.0,348629585.0
105000000.0,298815224.0
105000000.0,270997378.0
105000000.0,269065678.0
105000000.0,402156682.0
105000000.0,10364769.0
104000000.0,408803696.0
103300000.0,232643008.0
103000000.0,457683805.0
103000000.0,362000072.0
103000000.0,133401882.0
102500000.0,212282709.0
102000000.0,594420283.0
102000000.0,358824714.0
102000000.0,465195589.0
102000000.0,130673154.0
100000000.0,876508805.0
100000000.0,515390883.0
100000000.0,336529144.0
100000000.0,362211740.0
100000000.0,331323410.0
100000000.0,449841566.0
100000000.0,366890181.0
100000000.0,310650574.0
100000000.0,365300000.0
100000000.0,267985456.0
100000000.0,236827677.0
100000000.0,170936470.0
100000000.0,212956024.0
100000000.0,389918903.0
100000000.0,262794441.0
100000000.0,234400000.0
100000000.0,325500000.0
100000000.0,169630573.0
100000000.0,311979256.0
100000000.0,99123656.0
100000000.0,249488115.0
100000000.0,243388614.0
100000000.0,278731369.0
100000000.0,212026975.0
100000000.0,165139629.0
100000000.0,96150482.0
100000000.0,145395745.0
100000000.0,171377916.0
100000000.0,126151409.0
100000000.0,139716717.0
100000000.0,121100000.0
100000000.0,69548641.0
100000000.0,95255485.0
100000000.0,115112118.0
100000000.0,82078046.0
100000000.0,209461378.0
100000000.0,91800000.0
100000000.0,97523020.0
100000000.0,220796009.0
100000000.0,126704591.0
100000000.0,75486351.0
100000000.0,89693309.0
100000000.0,103039258.0
100000000.0,59918422.0
100000000.0,85480271.0
100000000.0,19552411.0
